id,title,url,upload_date,duration,view_count
0WO1dv6BpMw,"[맹모닝 상담소] 고집불통, 우리 주임신부님",https://www.youtube.com/watch?v=0WO1dv6BpMw,,1279.0,20661
BN_gncVutcU,"[맹모닝 상담소] 그냥, 잘하시는거 하면 안될까요?",https://www.youtube.com/watch?v=BN_gncVutcU,,1476.0,19225
Oi0IOMPQX_s,[맹모닝 상담소] 엄마의 과도한 걱정,https://www.youtube.com/watch?v=Oi0IOMPQX_s,,1837.0,19255
_fcJ11Cuvqo,[맹모닝 상담소] 은혜도  모르는 딸?,https://www.youtube.com/watch?v=_fcJ11Cuvqo,,1633.0,24684
bPnChl540AQ,"[맹모닝 상담소] 불편한 식사자리, 내향형이라..",https://www.youtube.com/watch?v=bPnChl540AQ,,1082.0,14114
R1wQpwnItU8,[맹모닝 상담소] 소심함과 열등감에 주눅이 든 나..,https://www.youtube.com/watch?v=R1wQpwnItU8,,1350.0,28259
I4Y-QHYide0,[맹모닝 상담소] 군종교구 교구장님 인터뷰,https://www.youtube.com/watch?v=I4Y-QHYide0,,1309.0,6404
KDllamrObeI,[맹모닝 상담소] 고백성사의 맛,https://www.youtube.com/watch?v=KDllamrObeI,,1294.0,14336
qrg23_qious,2025년 5월 27일,https://www.youtube.com/watch?v=qrg23_qious,,184.0,5126
ngs00izB0O0,"[맹모닝 상담소] 생각도 죄, 그리고, 아이들의 신앙생활에 대한 고민",https://www.youtube.com/watch?v=ngs00izB0O0,,1466.0,19433
uWix10iEmbE,[맹모닝 상담소] 행복한 성가정을 준비하는 당신...,https://www.youtube.com/watch?v=uWix10iEmbE,,857.0,6822
n_2rwyUYj6o,"[맹모닝 상담소] 형제간 갈등의 반복, 그 끝은?",https://www.youtube.com/watch?v=n_2rwyUYj6o,,960.0,11532
e2DArrhFIfU,[맹모닝 상담소] 가족인가? 범죄집단인가?,https://www.youtube.com/watch?v=e2DArrhFIfU,,1243.0,13554
vu3vbrVXHHE,[맹모닝 상담소] 진정한 친구란?,https://www.youtube.com/watch?v=vu3vbrVXHHE,,1354.0,28952
qlMK5zn_0Rg,[맹모닝 상담소] 힘든 가족관계... 끊어버리고 싶어요,https://www.youtube.com/watch?v=qlMK5zn_0Rg,,1298.0,30401
UVdUCPglMOI,[맹모닝 상담소] 빙의? 오지랖?,https://www.youtube.com/watch?v=UVdUCPglMOI,,863.0,13140
7-BnzbtZHHk,[맹모닝 상담소] 자기 자신을 용서하는 방법,https://www.youtube.com/watch?v=7-BnzbtZHHk,,1407.0,34120
LacUaz2LuMg,[맹모닝 상담소] 새 사제와의 불편한 관계,https://www.youtube.com/watch?v=LacUaz2LuMg,,1486.0,27206
JNNqjc0MlRM,[맹모닝 상담소] 건강한 화풀이법(?),https://www.youtube.com/watch?v=JNNqjc0MlRM,,1392.0,29586
yet0GksI21c,[맹모닝 상담소] 미운 사람 용서하기란..,https://www.youtube.com/watch?v=yet0GksI21c,,1694.0,39017
FckTnK4Ewk8,[맹모닝 상담소] 수녀님께 받은 상처...,https://www.youtube.com/watch?v=FckTnK4Ewk8,,1795.0,52255
R-mp7-5jaso,[맹모닝 상담소] 목사님께 안수기도를?,https://www.youtube.com/watch?v=R-mp7-5jaso,,1419.0,19987
4QlTZ-zduJY,[맹모닝 상담소] 주임신부님과의 갈등,https://www.youtube.com/watch?v=4QlTZ-zduJY,,1683.0,32431
