filename,quality_score,original_chars,corrected_chars
00000000_181201 홍성남 신부님(성모신심미사).txt,25,12046,1132
00000000_[260221] 자아의 성장과정.txt,50,28798,28995
00000000_[220423]제2부_돈에 대해서.txt,55,11192,11502
00000000_[미얀마 특집]미얀마 청년들과의 대화 1편.txt,55,13166,13451
